# Region type : patch inlet
# Faces       : 460
# Area        : 1.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
23.3059       	2.931500e+02
23.315        	2.931500e+02
23.3242       	2.931500e+02
23.3333       	2.931500e+02
23.3425       	2.931500e+02
23.3516       	2.931500e+02
23.3608       	2.931500e+02
23.37         	2.931500e+02
23.3791       	2.931500e+02
23.3883       	2.931500e+02
23.3974       	2.931500e+02
23.4066       	2.931500e+02
23.4158       	2.931500e+02
23.4249       	2.931500e+02
23.4341       	2.931500e+02
23.4432       	2.931500e+02
23.4524       	2.931500e+02
23.4615       	2.931500e+02
23.4707       	2.931500e+02
23.4799       	2.931500e+02
23.489        	2.931500e+02
23.4982       	2.931500e+02
23.5073       	2.931500e+02
23.5165       	2.931500e+02
23.5256       	2.931500e+02
23.5348       	2.931500e+02
23.544        	2.931500e+02
23.5531       	2.931500e+02
23.5623       	2.931500e+02
23.5714       	2.931500e+02
23.5806       	2.931500e+02
23.5897       	2.931500e+02
23.5989       	2.931500e+02
23.6081       	2.931500e+02
23.6172       	2.931500e+02
23.6264       	2.931500e+02
23.6355       	2.931500e+02
23.6447       	2.931500e+02
23.6538       	2.931500e+02
23.663        	2.931500e+02
23.6722       	2.931500e+02
23.6813       	2.931500e+02
23.6905       	2.931500e+02
23.6996       	2.931500e+02
23.7088       	2.931500e+02
23.7179       	2.931500e+02
23.7271       	2.931500e+02
23.7363       	2.931500e+02
23.7454       	2.931500e+02
23.7546       	2.931500e+02
23.7637       	2.931500e+02
23.7729       	2.931500e+02
23.7821       	2.931500e+02
23.7912       	2.931500e+02
23.8004       	2.931500e+02
23.8095       	2.931500e+02
23.8187       	2.931500e+02
23.8278       	2.931500e+02
23.837        	2.931500e+02
23.8462       	2.931500e+02
23.8553       	2.931500e+02
23.8645       	2.931500e+02
23.8736       	2.931500e+02
23.8828       	2.931500e+02
23.8919       	2.931500e+02
23.9011       	2.931500e+02
23.9103       	2.931500e+02
23.9194       	2.931500e+02
23.9286       	2.931500e+02
23.9377       	2.931500e+02
23.9469       	2.931500e+02
23.956        	2.931500e+02
23.9652       	2.931500e+02
23.9744       	2.931500e+02
23.9835       	2.931500e+02
23.9927       	2.931500e+02
24.0018       	2.931500e+02
24.011        	2.931500e+02
24.0201       	2.931500e+02
24.0293       	2.931500e+02
24.0385       	2.931500e+02
24.0476       	2.931500e+02
24.0568       	2.931500e+02
24.0659       	2.931500e+02
24.0751       	2.931500e+02
24.0842       	2.931500e+02
24.0934       	2.931500e+02
24.1026       	2.931500e+02
24.1117       	2.931500e+02
24.1209       	2.931500e+02
24.13         	2.931500e+02
24.1392       	2.931500e+02
24.1484       	2.931500e+02
24.1575       	2.931500e+02
24.1667       	2.931500e+02
24.1758       	2.931500e+02
24.185        	2.931500e+02
24.1941       	2.931500e+02
24.2033       	2.931500e+02
24.2125       	2.931500e+02
24.2216       	2.931500e+02
24.2308       	2.931500e+02
24.2399       	2.931500e+02
24.2491       	2.931500e+02
24.2582       	2.931500e+02
24.2674       	2.931500e+02
24.2766       	2.931500e+02
24.2857       	2.931500e+02
24.2949       	2.931500e+02
24.304        	2.931500e+02
24.3132       	2.931500e+02
24.3223       	2.931500e+02
24.3315       	2.931500e+02
24.3407       	2.931500e+02
24.3498       	2.931500e+02
24.359        	2.931500e+02
24.3681       	2.931500e+02
24.3773       	2.931500e+02
24.3864       	2.931500e+02
24.3956       	2.931500e+02
24.4048       	2.931500e+02
24.4139       	2.931500e+02
24.4231       	2.931500e+02
24.4322       	2.931500e+02
24.4414       	2.931500e+02
24.4505       	2.931500e+02
24.4597       	2.931500e+02
24.4689       	2.931500e+02
24.478        	2.931500e+02
24.4872       	2.931500e+02
24.4963       	2.931500e+02
24.5055       	2.931500e+02
24.5147       	2.931500e+02
24.5238       	2.931500e+02
24.533        	2.931500e+02
24.5421       	2.931500e+02
24.5513       	2.931500e+02
24.5604       	2.931500e+02
24.5696       	2.931500e+02
24.5788       	2.931500e+02
24.5879       	2.931500e+02
24.5971       	2.931500e+02
24.6062       	2.931500e+02
24.6154       	2.931500e+02
24.6245       	2.931500e+02
24.6337       	2.931500e+02
24.6429       	2.931500e+02
24.652        	2.931500e+02
24.6612       	2.931500e+02
24.6703       	2.931500e+02
24.6795       	2.931500e+02
24.6886       	2.931500e+02
24.6978       	2.931500e+02
24.707        	2.931500e+02
24.7161       	2.931500e+02
24.7253       	2.931500e+02
24.7344       	2.931500e+02
24.7436       	2.931500e+02
24.7527       	2.931500e+02
24.7619       	2.931500e+02
24.7711       	2.931500e+02
24.7802       	2.931500e+02
24.7894       	2.931500e+02
24.7985       	2.931500e+02
24.8077       	2.931500e+02
24.8168       	2.931500e+02
24.826        	2.931500e+02
24.8352       	2.931500e+02
24.8443       	2.931500e+02
24.8535       	2.931500e+02
24.8626       	2.931500e+02
24.8718       	2.931500e+02
24.881        	2.931500e+02
24.8901       	2.931500e+02
24.8993       	2.931500e+02
24.9084       	2.931500e+02
24.9176       	2.931500e+02
24.9267       	2.931500e+02
24.9359       	2.931500e+02
24.9451       	2.931500e+02
24.9542       	2.931500e+02
24.9634       	2.931500e+02
24.9725       	2.931500e+02
24.9817       	2.931500e+02
24.9908       	2.931500e+02
25            	2.931500e+02
25.0092       	2.931500e+02
25.0183       	2.931500e+02
25.0275       	2.931500e+02
25.0366       	2.931500e+02
25.0458       	2.931500e+02
25.0549       	2.931500e+02
25.0641       	2.931500e+02
25.0733       	2.931500e+02
25.0824       	2.931500e+02
25.0916       	2.931500e+02
25.1007       	2.931500e+02
25.1099       	2.931500e+02
25.119        	2.931500e+02
25.1282       	2.931500e+02
25.1374       	2.931500e+02
25.1465       	2.931500e+02
25.1557       	2.931500e+02
25.1648       	2.931500e+02
25.174        	2.931500e+02
25.1832       	2.931500e+02
25.1923       	2.931500e+02
25.2015       	2.931500e+02
25.2106       	2.931500e+02
25.2198       	2.931500e+02
25.2289       	2.931500e+02
25.2381       	2.931500e+02
25.2473       	2.931500e+02
25.2564       	2.931500e+02
25.2656       	2.931500e+02
25.2747       	2.931500e+02
25.2839       	2.931500e+02
25.293        	2.931500e+02
25.3022       	2.931500e+02
25.3114       	2.931500e+02
25.3205       	2.931500e+02
25.3297       	2.931500e+02
25.3388       	2.931500e+02
25.348        	2.931500e+02
25.3571       	2.931500e+02
25.3663       	2.931500e+02
25.3755       	2.931500e+02
25.3846       	2.931500e+02
25.3938       	2.931500e+02
25.4029       	2.931500e+02
